track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
If I Ever Feel Better,Phoenix,3AA8xNhDC0MpqwkGX3EP5V,0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,audio_features,3AA8xNhDC0MpqwkGX3EP5V,spotify:track:3AA8xNhDC0MpqwkGX3EP5V,https://api.spotify.com/v1/tracks/3AA8xNhDC0MpqwkGX3EP5V,https://api.spotify.com/v1/audio-analysis/3AA8xNhDC0MpqwkGX3EP5V,266600,4
Dance To The Underground,Radio 4,2i8lRhmZNKaM1ypHwRybuD,0.667,0.667,7,-6.267,1,0.0388,0.00013,0.00385,0.0711,0.843,130.321,audio_features,2i8lRhmZNKaM1ypHwRybuD,spotify:track:2i8lRhmZNKaM1ypHwRybuD,https://api.spotify.com/v1/tracks/2i8lRhmZNKaM1ypHwRybuD,https://api.spotify.com/v1/audio-analysis/2i8lRhmZNKaM1ypHwRybuD,243213,4
How We Do,Mount Sims,4flxgPC0426CEeSrzQIic0,0.826,0.601,10,-3.966,0,0.0515,0.195,3.24e-06,0.07,0.948,126.971,audio_features,4flxgPC0426CEeSrzQIic0,spotify:track:4flxgPC0426CEeSrzQIic0,https://api.spotify.com/v1/tracks/4flxgPC0426CEeSrzQIic0,https://api.spotify.com/v1/audio-analysis/4flxgPC0426CEeSrzQIic0,234000,4
Fuck the Pain Away,Peaches,1XHFob24QklIXtLRopKirJ,0.905,0.945,4,-2.63,1,0.137,0.0354,0.00529,0.0707,0.944,131.597,audio_features,1XHFob24QklIXtLRopKirJ,spotify:track:1XHFob24QklIXtLRopKirJ,https://api.spotify.com/v1/tracks/1XHFob24QklIXtLRopKirJ,https://api.spotify.com/v1/audio-analysis/1XHFob24QklIXtLRopKirJ,250693,4
Street Surgery 2,Zongamin,4JB847zlgViLq8tJIzRsZy,0.797,0.536,11,-8.267,0,0.266,0.0315,2.88e-05,0.17,0.704,102.881,audio_features,4JB847zlgViLq8tJIzRsZy,spotify:track:4JB847zlgViLq8tJIzRsZy,https://api.spotify.com/v1/tracks/4JB847zlgViLq8tJIzRsZy,https://api.spotify.com/v1/audio-analysis/4JB847zlgViLq8tJIzRsZy,224800,4
Emerge,Fischerspooner,3vyKSb9sAdXl0kQ1KnS9fY,0.607,0.734,10,-7.622,1,0.0445,0.0906,0.812,0.0925,0.569,147.941,audio_features,3vyKSb9sAdXl0kQ1KnS9fY,spotify:track:3vyKSb9sAdXl0kQ1KnS9fY,https://api.spotify.com/v1/tracks/3vyKSb9sAdXl0kQ1KnS9fY,https://api.spotify.com/v1/audio-analysis/3vyKSb9sAdXl0kQ1KnS9fY,288307,4
Such Great Heights,The Postal Service,3iDK8BAaBUatPR84gdfa9g,0.653,0.818,5,-8.125,1,0.047,0.00907,0.23,0.0703,0.198,174.984,audio_features,3iDK8BAaBUatPR84gdfa9g,spotify:track:3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/tracks/3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/audio-analysis/3iDK8BAaBUatPR84gdfa9g,266347,4
The District Sleeps Alone Tonight,The Postal Service,5Bf5C7RkyXTqE1h3Q8KZJ7,0.621,0.775,0,-7.662,1,0.0513,0.129,0.0106,0.115,0.216,153.963,audio_features,5Bf5C7RkyXTqE1h3Q8KZJ7,spotify:track:5Bf5C7RkyXTqE1h3Q8KZJ7,https://api.spotify.com/v1/tracks/5Bf5C7RkyXTqE1h3Q8KZJ7,https://api.spotify.com/v1/audio-analysis/5Bf5C7RkyXTqE1h3Q8KZJ7,284293,4
Sleepin In,The Postal Service,0LEsGGRUrZZhLPFoxeioHr,0.715,0.635,0,-6.345,1,0.0384,0.234,0.000542,0.157,0.679,128.997,audio_features,0LEsGGRUrZZhLPFoxeioHr,spotify:track:0LEsGGRUrZZhLPFoxeioHr,https://api.spotify.com/v1/tracks/0LEsGGRUrZZhLPFoxeioHr,https://api.spotify.com/v1/audio-analysis/0LEsGGRUrZZhLPFoxeioHr,261253,4
Danger! High Voltage - Soulchild Radio Mix,Electric Six,6LtIW2Y5NbZnMlUJbiviQ6,0.66,0.698,11,-4.722,0,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,audio_features,6LtIW2Y5NbZnMlUJbiviQ6,spotify:track:6LtIW2Y5NbZnMlUJbiviQ6,https://api.spotify.com/v1/tracks/6LtIW2Y5NbZnMlUJbiviQ6,https://api.spotify.com/v1/audio-analysis/6LtIW2Y5NbZnMlUJbiviQ6,214600,4
